# python:
# 
# 4.45
# 4.43
# 4.40
# 4.66
# 4.61
# 4.57
# 4.53
# 4.57
# 4.73
# 4.47
# ------
# 4.54 ø
#
# vala:
#
# 0.35
# 0.35
# 0.35
# 0.35
# 0.35
# 0.37
# 0.35
# 0.34
# 0.35
# 0.34
# ------
# 0.35 ø
#
# c:
#
# 0.22
# 0.22
# 0.23
# 0.22
# 0.22
# 0.24
# 0.22
# 0.22
# 0.23
# 0.23
# ------
# 0.23

0   C       0.23,    
1   Vala    0.35,    
2   Python  4.54
